time,PM2.5 env,particles 2.5um,Temperature,Gas,Humidity,Pressure,Altitude
1772231554.4976845,0,0,22.7329296875,82458,52.46601098953372,1008.202311351291,42.11047302590398
1772231555.5111735,0,0,22.7372265625,84515,52.46008845100996,1008.1962534980323,42.161113281638094
1772231556.5240927,0,0,22.7423046875,85498,52.42833620742408,1008.1932587834282,42.18614750715958
1772231557.5375047,0,0,22.748359375,87277,52.390235132226785,1008.2027975071787,42.106409046019515
1772231558.5508955,0,0,22.7544140625,88150,52.35862143616221,1008.2013410301033,42.118584350262225
1772231559.5659945,0,0,22.760078125,89583,52.339920449011956,1008.1919387635926,42.19718219189352
1772231560.5790005,0,0,22.766328125,91443,52.308340066797115,1008.1907895318357,42.20678918593297
1772231561.5924401,0,0,22.7727734375,93282,52.289745418968074,1008.197278142217,42.152547813608095
1772231562.6058629,0,0,22.7774609375,96681,52.257969313664084,1008.2064953010929,42.07549769594531
1772231563.6172326,0,0,22.783125,98244,52.23280134055589,1008.208087865709,42.06218483456769
1772231564.628459,0,0,22.78859375,99633,52.20113603989576,1008.209372627829,42.05144502528432
1772231565.6401024,0,0,22.7938671875,101293,52.16297664744258,1008.2066842959231,42.07391781443048
1772231566.6513624,0,0,22.7993359375,102830,52.14426804982676,1008.2024708136366,42.10914001345581
1772231567.6626015,0,0,22.8040234375,104786,52.10604345004892,1008.2061898024591,42.07805147870653
1772231568.6758847,0,0,22.8087109375,105287,52.093709728430085,1008.2025779856688,42.10824411770472
1772231569.688565,0,0,22.8137890625,106431,52.06848611900256,1008.1995813668087,42.13329413458422
1772231570.7019954,0,0,22.819453125,107930,52.04334177878676,1008.2011730407053,42.119988645186005
1772231571.7195513,0,0,22.82453125,109608,52.00518739696315,1008.2000088523268,42.12972059687426
1772231572.7326028,0,0,22.8290234375,109133,51.97989891248584,1008.2015870232295,42.11652798929364
1772231573.745984,0,0,22.833515625,111339,51.96754731187735,1008.1976668442352,42.14929847800949
1772231574.7592793,0,0,22.83703125,111199,51.95506973078611,1008.1977065184454,42.148966823440425
1772231575.7726233,0,0,22.8411328125,114746,51.929736865411876,1008.1895052172383,42.21752541443362
1772231576.785938,0,0,22.8458203125,114821,51.904483214648785,1008.1858922959624,42.247727690989784
1772231577.7993503,0,0,22.849921875,115878,51.90501497927033,1008.1868546810376,42.239682608099855
1772231578.8129404,0,0,22.8540234375,116799,51.87322438564364,1008.1841513669149,42.26228104811465
1772231579.8264985,0,0,22.858515625,119007,51.860879093252045,1008.1564036235283,42.49424202406714
1772231580.8389761,0,0,22.861640625,120225,51.848357384784336,1008.1356661812506,42.667602824661756
1772231581.8523676,0,0,22.8661328125,120719,51.836013544059455,1008.1225804480207,42.776998379435554
1772231582.8672104,0,0,22.871796875,121134,51.84321015538191,1008.1186716506921,42.80967579712858
1772231583.8807166,0,0,22.8755078125,123080,51.8566174791116,1008.126349425446,42.74548994870338
1772231584.8941598,0,0,22.8790234375,122226,51.87646470389828,1008.1502155844719,42.545972470023095
1772231585.90758,0,0,22.8825390625,124823,51.86399237153739,1008.1612516744316,42.45371372075297
1772231586.9211595,0,0,22.8868359375,125803,51.87747747869885,1008.175351291345,42.33584589832691
1772231587.9345815,0,0,22.8919140625,125983,51.884600319573686,1008.1796840259002,42.2996260343246
1772231588.9480262,0,0,22.895234375,126890,51.878566304721694,1008.177582117942,42.31719709740943
1772231589.9614897,0,0,22.8985546875,128462,51.8725324496012,1008.1773130833142,42.31944611545084
1772231590.9749808,0,0,22.90265625,129500,51.85367237104608,1008.1819404375572,42.28076341856632
1772231591.987779,0,0,22.9065625,130362,51.834788745254,1008.1770953073506,42.32126663264971
1772231592.9991064,0,0,22.909296875,131432,51.82868018079598,1008.1832351094594,42.26994054246392
1772231594.0103807,0,0,22.9118359375,131334,51.81608401183353,1008.1762364244989,42.32844654200384
1772231595.0216656,0,0,22.914765625,132121,51.78415444189621,1008.17535187648,42.33584100683347
1772231596.0329034,0,0,22.9169140625,134954,51.765049825813655,1008.1659047979749,42.41481510220083
1772231597.0462675,0,0,22.9192578125,133220,51.74597237809228,1008.1585982592497,42.47589548465546
1772231598.0598078,0,0,22.9223828125,134030,51.73345731334819,1008.1635201755449,42.43474976177426
1772231599.0734117,0,0,22.924921875,136311,51.73378588085366,1008.1620201806696,42.44728924536878
1772231600.086969,0,0,22.92921875,136946,51.721423155661775,1008.1669547599436,42.406037777420636
1772231601.0994995,0,0,22.9346875,136311,51.741509483933264,1008.1737350318533,42.34935718965888
1772231602.1128912,0,0,22.9403515625,137266,51.84563143449411,1008.1734906531376,42.35140010078368
1772231603.1275804,0,0,22.944453125,138019,51.96254600344151,1008.1762844416294,42.3280451382993
1772231604.141106,0,0,22.9485546875,138889,52.07953601847009,1008.1699127609483,42.38130993536394
1772231605.1545522,0,0,22.9524609375,139328,52.16419869805839,1008.1687326071586,42.391175596544784
1772231606.1679122,0,0,22.9565625,140326,52.235971170896306,1008.1806917392103,42.291201987038384
1772231607.1825464,0,0,22.961640625,141908,52.275502557271494,1008.1831902782377,42.27031531117045
1772231608.1958659,0,0,22.9657421875,142367,52.26955896439972,1008.187816966143,42.231638367131545
1772231609.2093434,0,0,22.96984375,143760,52.26361551990329,1008.1796116099781,42.30023140036519
1772231610.2220552,0,0,22.974140625,143409,52.23826368859548,1008.1790463123792,42.304957046979666
1772231611.2354,0,0,22.9786328125,145301,52.206463857041896,1008.1842880419656,42.26113850752093
1772231612.2560887,0,0,22.9821484375,145301,52.168066529377604,1008.1879917357408,42.23017737796111
1772231613.2697105,0,0,22.9856640625,146023,52.129676870779335,1008.184362647422,42.260514840259226
1772231614.2831473,0,0,22.988203125,146753,52.09116776679955,1008.1810286698285,42.28838539436326
1772231615.2967021,0,0,22.991328125,148234,52.05274269599978,1008.1786174291578,42.30854232905474
1772231616.3101842,0,0,22.9950390625,148860,52.01440153474178,1008.1844617801793,42.25968613610971
1772231617.3236418,0,0,22.9989453125,148986,51.9696248488684,1008.1961134250538,42.16228421609329
1772231618.3371904,0,0,23.0020703125,149745,51.918290408964445,1008.2028682608928,42.105817586337295
1772231619.3501763,0,0,23.0055859375,150512,51.886416252120185,1008.2065718236446,42.07485801405637
1772231620.36349,0,0,23.009296875,150770,51.85457269129087,1008.2069164520444,42.07197713117723
1772231621.375558,0,0,23.0118359375,152465,51.82258240220273,1008.2054154379869,42.08452469750179
1772231622.3885136,0,0,23.014765625,152202,51.78418595672195,1008.2045295753082,42.09192997881885
1772231623.4019732,0,0,23.0180859375,153128,51.765231053210826,1008.2079254248367,42.06354273964274
1772231624.4154465,0,0,23.0223828125,153528,51.73348336403374,1008.2036927527072,42.098925319312876
1772231625.4290147,0,0,23.0251171875,154470,51.70799790078714,1008.1988325295414,42.139553994536506
1772231626.440396,0,0,23.02765625,154877,51.68894921649168,1008.2009978908486,42.12145279763825
1772231627.4516938,0,0,23.02921875,154741,51.65686020855739,1008.1924587139058,42.19283567415583
1772231628.4629502,0,0,23.033125,155560,51.63153648130178,1008.1949437937392,42.17206170737636
1772231629.4741936,0,0,23.035859375,157226,51.599608678865096,1008.1974166609257,42.15138987308747
1772231630.4854364,0,0,23.0387890625,157507,51.57416619657769,1008.1928637286499,42.1894499600413
1772231631.4987237,0,0,23.041328125,158784,51.542222748036686,1008.1858622068918,42.247979221454365
1772231632.5123699,0,0,23.044453125,157789,51.516813081700676,1008.1852834075279,42.25281771279219
1772231633.525664,0,0,23.0466015625,159070,51.49773280859203,1008.1923334992176,42.19388240451618
1772231634.5406127,0,0,23.0471875,159214,51.47845278196798,1008.1950896048206,42.170842804340204
1772231635.5543268,0,0,23.049140625,159358,51.45935114356997,1008.1944986628321,42.175782765743335
1772231636.5675821,0,0,23.0501171875,159791,51.44012545081619,1008.1923698090384,42.19357887309003
1772231637.5810099,0,0,23.052265625,160665,51.41460338416005,1008.1590855612387,42.471821781020715
1772231638.5957658,0,0,23.0536328125,161401,51.39543261322091,1008.1337377861522,42.683723962291246
1772231639.609316,0,0,23.0551953125,162442,51.39563401705146,1008.1196977769265,42.801097405469335
1772231640.6227593,0,0,23.056171875,162144,51.38931130280916,1008.1102352128942,42.880204490567166
1772231641.6349602,0,0,23.0579296875,163346,51.37019338346365,1008.1111697730208,42.87239153623514
1772231642.6492734,0,0,23.0598828125,163649,51.38334119639761,1008.1344126695653,42.678082019998406
1772231643.6640813,0,0,23.0622265625,163953,51.36429930249582,1008.1527706053323,42.52461310881661
1772231644.6775057,0,0,23.0630078125,164566,51.34505801679245,1008.1576676698647,42.48367494709191
1772231645.6922953,0,0,23.0653515625,164566,51.345359919931894,1008.1650252529134,42.422167805319354
1772231646.7058284,0,0,23.067109375,165183,51.35203349205211,1008.171460171152,42.36837415683302
1772231647.7193692,0,0,23.0688671875,165183,51.3651549552507,1008.1742282565974,42.34523402364332
1772231648.73288,0,0,23.0696484375,164874,51.35880799848408,1008.1772919470045,42.319622806266096
1772231649.7464743,0,0,23.071015625,165493,51.36543179686889,1008.1757780404622,42.33227844709417
1772231650.7598624,0,0,23.074140625,166431,51.35938680504417,1008.1770321936461,42.32179423723346
1772231651.771596,0,0,23.0766796875,166431,51.39195480634497,1008.1865308760501,42.24238946356166
1772231652.7829561,0,0,23.079609375,167062,51.41812940014269,1008.187477448488,42.23447657083111
1772231653.7941418,0,0,23.0821484375,167379,51.47006182892653,1008.193309260603,42.18572554425926
1772231654.8054173,0,0,23.0846875,167379,51.476841231707645,1008.1918071973955,42.19828201805903
1772231655.816747,0,0,23.0864453125,168017,51.50287720168527,1008.185407886619,42.25177712575867
1772231656.8311493,0,0,23.089375,170455,51.509708418548875,1008.1936882857929,42.18255709152618
1772231657.8464792,0,0,23.090546875,169961,51.48404960966752,1008.188199705181,42.22843885446169
1772231658.8601983,0,0,23.092109375,170455,51.45844473397112,1008.190660192605,42.20787039679443
1772231659.8735662,0,0,23.0950390625,169471,51.439470167047865,1008.1971071123126,42.153977530085115
1772231660.8884664,0,0,23.0966015625,171283,51.439671775363024,1008.1922335790127,42.194717686084225
1772231661.900428,0,0,23.09953125,171616,51.40779958996755,1008.1931799457503,42.18680654914114
1772231662.9133046,0,0,23.10265625,172119,51.40175323454572,1008.1907667923516,42.20697927656868
1772231663.9263377,0,0,23.106171875,172794,51.37641112833382,1008.1871351478949,42.237338039337104
1772231664.939517,0,0,23.10890625,173304,51.357419300470724,1008.1767725779299,42.32396451802839
1772231665.9528904,0,0,23.11203125,173304,51.338479654669854,1008.1816933806549,42.282828704678735
1772231666.96647,0,0,23.1145703125,173134,51.31301998378605,1008.1783573061564,42.31071684777675
1772231667.9798584,0,0,23.117890625,174332,51.27477397254013,1008.1835856293324,42.267010355557055
1772231668.9930887,0,0,23.120625,174332,51.249347931029455,1008.1750562883487,42.33831200561615
1772231670.006519,0,1,23.124140625,174505,51.224025762748994,1008.1750913449439,42.33801894644466
1772231671.019838,0,1,23.1266796875,174851,51.198581309846915,1008.1662542711399,42.41189362463466
1772231672.033407,0,1,23.1301953125,175025,51.17970735204373,1008.1736235902994,42.35028879770364
1772231673.0461714,1,1,23.1329296875,175373,51.14785316214757,1008.1797627699483,42.29896776790648
1772231674.059493,1,1,23.1360546875,176426,51.11605449314534,1008.1791825794211,42.30381791248073
1772231675.0728986,1,1,23.1395703125,176958,51.09074978238919,1008.1773837885081,42.318855049271725
1772231676.0862012,0,1,23.1430859375,177314,51.071886238885014,1008.1792521993535,42.30323591951234
1772231677.099541,0,1,23.145625,177136,51.05289916391649,1008.1777492480161,42.31579995946906
1772231678.1129775,0,1,23.14875,178753,51.0533002200239,1008.1735015505407,42.35130900271473
1772231679.1266088,1,2,23.152265625,177851,51.04087704788426,1008.1717024940839,42.36634842795997
1772231680.140521,1,2,23.1563671875,178210,51.041403371001714,1008.1653249242174,42.41966265266863
1772231681.1553767,1,2,23.1594921875,178210,51.0418043942907,1008.159243263178,42.47050343877598
1772231682.1684165,1,2,23.1628125,178934,51.04866770203978,1008.1663048761741,42.411470583717744
1772231683.1830783,1,2,23.167109375,180031,51.049219203369546,1008.173070438904,42.35491292945623
1772231684.1979206,1,2,23.1712109375,179481,51.04974565964091,1008.1703598941631,42.37757206496414
1772231685.2116969,1,2,23.1753125,180399,51.050272138555876,1008.1713166987321,42.36957353266793
1772231686.2230697,1,2,23.178828125,180215,51.02497516248823,1008.1676833997035,42.39994660131696
1772231687.2343862,1,2,23.1829296875,180215,51.019064929647925,1008.1649725570643,42.42260832519271
1772231688.2456653,1,2,23.18703125,180399,51.01315484408116,1008.1677628923029,42.399282070928365
1772231689.2568872,1,2,23.190546875,188046,50.98786252453195,1008.1622955518117,42.44498722842887
1772231690.2681115,1,2,23.1940625,188455,50.98187811770095,1008.1604956615238,42.46003375960558
1772231691.281415,1,2,23.196796875,187944,50.975793676970774,1008.1684684001704,42.393384273209946
1772231692.2949162,1,2,23.2001171875,188660,50.96978454214165,1008.1626933178227,42.441662029415355
1772231693.308136,1,2,23.202265625,188968,50.95719078224944,1008.1697435344893,42.382724607117105
1772231694.3214505,1,2,23.2048046875,188660,50.957516325511364,1008.1700735497348,42.37996579966877
1772231695.334772,1,2,23.2067578125,189381,50.93846438426306,1008.1749824682308,42.338929112424154
1772231696.3482125,1,2,23.20890625,188352,50.938739775830626,1008.1618606631969,42.4486227619728
1772231697.3616397,1,2,23.21203125,189692,50.91983983740363,1008.1686145902236,42.39216217618108
1772231698.374189,1,2,23.2141796875,190632,50.93298200297365,1008.1628279652867,42.44053641912095
1772231699.387099,1,2,23.2165234375,189900,50.90754953704185,1008.1665180134443,42.4096888286412
1772231700.4004898,0,1,23.2200390625,190947,50.914432932687134,1008.1702192340455,42.378747932037825
1772231701.4135065,0,1,23.2221875,191157,50.88897780943745,1008.1681001901677,42.39646237895247
1772231702.4264853,0,1,23.2243359375,191792,50.876389116585045,1008.167814980097,42.39884663517076
1772231703.4398687,0,1,23.2266796875,191686,50.863826242024004,1008.1751727491371,42.33733843984698
